date,sp_close,sp_volume,median_sale_price,homes_sold,inflation_rate,sales,unemployment_rate,nas_close,nas_volume
2012-05-01,1310.33,14171819000,,,,,,,
2012-06-01,1362.16,13748606000,,,,,,,
2012-07-01,1379.32,12125974000,,,,,,,
2012-08-01,1406.58,11021329000,,,,,,,
2012-09-01,1440.67,11125102000,,,,,,,
2012-10-01,1412.16,11142180000,,,,,,,
2012-11-01,1416.18,11665885000,,,,,,,
2012-12-01,1426.19,11056055000,,,,,,,
2013-01-01,1498.11,11634145000,,,,,,,
2013-02-01,1514.68,10580729000,,,,,,,
2013-03-01,1569.19,10719776000,,,,,,,
2013-04-01,1597.57,12164042000,,,,,,,
2013-05-01,1630.74,11694887000,,,,,,,
2013-06-01,1606.28,12462410000,,,,,,,
2013-07-01,1685.73,11191664000,,,,,,,
2013-08-01,1632.97,10079978000,,,,,,,
2013-09-01,1681.55,10408247000,,,,,,,
2013-10-01,1756.54,11680123000,,,,,,,
2013-11-01,1805.81,9655322000,,,,,,,
2013-12-01,1848.36,10568798000,,,,,,,
2014-01-01,1782.59,11740838000,,,,,,,
2014-02-01,1859.45,10770665000,,,,,,,
2014-03-01,1872.34,11474553000,,,,,,,
2014-04-01,1883.95,11695601000,,,,,,,
2014-05-01,1923.57,9699181000,,,,,,,
2014-06-01,1960.23,10175998000,,,,,,,
2014-07-01,1930.67,10073730000,,,,,,,
2014-08-01,2003.37,8649482000,,,,,,,
2014-09-01,1972.29,10512696000,,,,,,,
2014-10-01,2018.05,13974546000,,,,,,,
2014-11-01,2067.56,9304450000,,,,,,,
2014-12-01,2058.9,12364231000,,,,,,,
2015-01-01,1994.99,12047140000,,,,,,,
2015-02-01,2104.5,10343659000,,,,,,,
2015-03-01,2067.89,13018356000,,,,,,,
2015-04-01,2085.51,11149400000,,,,,,,
2015-05-01,2107.39,10167715000,,,,,,,
2015-06-01,2063.11,12346647000,,,,,,,
2015-07-01,2103.84,12184138000,,,,,,,
2015-08-01,1972.18,14503322000,,,,,,,
2015-09-01,1920.03,15286427000,,,,,,,
2015-10-01,2079.36,14410190000,,,,,,,
2015-11-01,2080.41,11798490000,,,,,,,
2015-12-01,2043.94,14154967000,,,,,,,
2016-01-01,1940.24,16256144000,,,,,,,
2016-02-01,1932.23,15830276000,,,,,,,
2016-03-01,2059.74,14656110000,,,,,,,
2016-04-01,2065.3,13145299000,,,,,,,
2016-05-01,2096.96,12496358000,,,,,,,
2016-06-01,2098.86,14693806000,,,,,,,
2016-07-01,2173.6,11439985000,,,,,,,
2016-08-01,2170.95,11454707000,,,,,,,
2016-09-01,2168.27,13023807000,,,,,,,
2016-10-01,2126.15,11684815000,,,,,,,
2016-11-01,2198.81,13899403000,,,,,,,
2016-12-01,2238.83,40008140000,,,,,,,
2017-01-01,2278.87,42691599000,246000,360977,2.6,368960,4.7,5614.786,8376144160
2017-02-01,2363.64,40740785000,247000,369081,2.7,365480,4.6,5825.438,8563523411
2017-03-01,2362.72,47262643000,257000,533610,2.5,422891,4.4,5911.738,10998962695
2017-04-01,2384.2,37735945000,262000,516823,2.5,407165,4.4,6047.606,8302492073
2017-05-01,2411.8,44654185000,269000,630788,2.6,434450,4.4,6198.517,10239273745
2017-06-01,2423.41,48560081000,276000,692305,2.6,423034,4.3,6140.42,12495363264
2017-07-01,2470.3,38444882000,272000,591551,2.6,416900,4.3,6348.123,8578650016
2017-08-01,2471.65,40576570000,271000,628674,2.6,431822,4.4,6428.662,9581315806
2017-09-01,2519.36,39446921000,268000,535617,2.7,412578,4.3,6495.959,9408462400
2017-10-01,2575.26,43198854000,268000,526871,2.4,417830,4.2,6727.669,9643769843
2017-11-01,2647.58,43412023000,270000,495517,2.5,442077,4.2,6873.973,10199649517
2017-12-01,2673.61,39132011000,270000,499712,2.7,497027,4.1,6903.389,10003547944
2018-01-01,2823.81,47016764000,263000,366400,2.7,389808,4,7411.482,10402836615
2018-02-01,2713.83,49680994000,268000,377984,2.7,380671,4.1,7273.009,10805256007
2018-03-01,2640.87,49520702000,277000,520789,2.8,444994,4,7063.445,12330610876
2018-04-01,2648.05,44339282000,280000,545316,2.7,420245,4,7066.266,10155255992
2018-05-01,2705.27,44387501000,287000,635061,2.8,464050,3.8,7442.117,10635804212
2018-06-01,2718.37,46863556000,292000,671972,3,443577,4,7510.304,12841254425
2018-07-01,2816.29,40961038000,287000,624557,2.9,441767,3.8,7671.789,9424389971
2018-08-01,2901.52,41996721000,283000,641479,3,456030,3.8,8109.537,10701358279
2018-09-01,2913.98,39907932000,277000,500018,2.7,417172,3.7,8046.353,11153039738
2018-10-01,2711.74,58692278000,277000,530599,2.9,441878,3.8,7305.899,14831031645
2018-11-01,2760.17,50522312000,278000,481106,2.8,459319,3.8,7330.536,12569887986
2018-12-01,2506.85,52618530000,277000,445968,2.7,493526,3.9,6635.277,13123251192
2019-01-01,2704.1,51676851000,272000,337103,2.7,399461,4,7281.737,12227386728
2019-02-01,2784.49,41413763000,274000,376211,2.6,384967,3.8,7532.532,10637207490
2019-03-01,2834.4,46078501000,283000,492799,2.5,447155,3.8,7729.321,13041281885
2019-04-01,2945.83,41004943000,289000,553080,2.5,442921,3.6,8095.388,10751583657
2019-05-01,2752.06,44288532000,297000,650350,2.9,475897,3.6,7453.148,12283387305
2019-06-01,2941.76,40240962000,302000,628366,2.7,448595,3.6,8006.244,12574574000
2019-07-01,2980.38,38589599000,299000,640812,2.6,462097,3.7,8175.419,11143906050
2019-08-01,2926.46,44182148000,295000,632565,2.7,473482,3.7,7962.882,11994480568
2019-09-01,2976.74,38026271000,291000,536596,2.8,429556,3.5,7999.332,11510849523
2019-10-01,3037.56,41102825000,293000,547809,2.5,456436,3.6,8292.36,11226733804
2019-11-01,3140.98,36870813000,293000,484353,2.5,469003,3.6,8665.471,10745739757
2019-12-01,3230.78,36752558000,295000,515929,2.3,521467,3.6,8972.604,12249707059
2020-01-01,3225.52,41642589000,289000,381306,2.5,418734,3.5,9150.936,12887269817
2020-02-01,2954.22,45245591000,293000,409559,2.4,415511,3.5,8567.368,13386395038
2020-03-01,2584.59,95328398000,302000,512443,2.2,430527,4.4,7700.098,25111758860
2020-04-01,2912.43,71183389000,303000,442444,2.1,377210,14.7,8889.551,18759920372
2020-05-01,3044.31,61411576000,298000,428048,3.2,462286,13.2,9489.872,18165195419
2020-06-01,3100.29,72273672000,310000,596048,3,481205,11,10058.765,27301039065
2020-07-01,3271.12,54487214000,322000,712170,3,494905,10.2,10745.275,20682333679
2020-08-01,3500.31,46125741000,327000,673302,3.1,488949,8.4,11775.456,17244602454
2020-09-01,3363,55234683000,331000,670101,2.6,476247,7.9,11167.68,20520576928
2020-10-01,3269.96,51333971000,334000,681181,2.6,495722,6.9,10911.591,16774563098
2020-11-01,3621.63,53533033000,333000,590703,2.8,492362,6.7,12198.737,19469397524
2020-12-01,3756.07,50012214000,332000,636170,2.5,559932,6.7,12888.282,23504578175
2021-01-01,3714.24,51314664000,329000,436950,3,464362,6.4,13070.695,26547129200
2021-02-01,3811.15,45312810000,336000,441458,3.3,440019,6.2,13192.35,27399221363
2021-03-01,3972.89,61183741000,352000,594218,3.1,567933,6,13246.87,29117810074
2021-04-01,4181.17,44569620000,368000,627547,3.4,558181,6,13962.68,18514952779
2021-05-01,4204.11,44739836000,375000,635092,4.6,570641,5.8,13748.739,18492542668
2021-06-01,4297.5,45608524000,386000,732963,4.2,562929,5.9,14503.953,24048313629
2021-07-01,4395.26,41950747000,384000,682497,4.7,558031,5.4,14672.678,17455837215
2021-08-01,4522.68,40953482000,380000,677156,4.6,557018,5.2,15259.235,17681288822
2021-09-01,4307.54,43063851000,375000,642162,4.6,536229,4.7,14448.581,20386896202
2021-10-01,4605.38,41734570000,379000,615470,4.8,559399,4.6,15498.388,18708446295
2021-11-01,4567,47188041000,383000,593248,4.9,583223,4.2,15537.691,21650408237
2021-12-01,4766.18,49779279000,382000,597974,4.8,636842,3.9,15644.971,22793982904
2022-01-01,4515.55,54612067000,376000,415785,4.9,520757,4,14239.883,20652338241
2022-02-01,4373.94,50653703000,390000,414726,4.9,509967,3.8,13751.399,18893380907
